#RecordID,ResourceType,ProbeName,Raw_SiteName,Host_description,Host,ResourceGroup,OIM_SiteName,SuccessfulMatch#
login01.hep.wisc.edu:519657.183,Payload,condor:login01.hep.wisc.edu,GLOW_SUBMIT1,GLOW_SUBMIT1,e374.chtc.wisc.edu (primary),GLOW,GLOW,Success
login01.hep.wisc.edu:519657.188,Payload,condor:login01.hep.wisc.edu,GLOW_SUBMIT1,GLOW_SUBMIT1,e430.chtc.wisc.edu (primary),GLOW,GLOW,Success
login01.hep.wisc.edu:519657.191,Payload,condor:login01.hep.wisc.edu,GLOW_SUBMIT1,GLOW_SUBMIT1,e383.chtc.wisc.edu (primary),GLOW,GLOW,Success
login01.hep.wisc.edu:519657.192,Payload,condor:login01.hep.wisc.edu,GLOW_SUBMIT1,GLOW_SUBMIT1,e351.chtc.wisc.edu (primary),GLOW,GLOW,Success
login01.hep.wisc.edu:519657.193,Payload,condor:login01.hep.wisc.edu,GLOW_SUBMIT1,GLOW_SUBMIT1,e420.chtc.wisc.edu (primary),GLOW,GLOW,Success
login01.hep.wisc.edu:519657.196,Payload,condor:login01.hep.wisc.edu,GLOW_SUBMIT1,GLOW_SUBMIT1,e430.chtc.wisc.edu (primary),GLOW,GLOW,Success
login01.hep.wisc.edu:519657.197,Payload,condor:login01.hep.wisc.edu,GLOW_SUBMIT1,GLOW_SUBMIT1,e301.chtc.wisc.edu (primary),GLOW,GLOW,Success
login01.hep.wisc.edu:519657.199,Payload,condor:login01.hep.wisc.edu,GLOW_SUBMIT1,GLOW_SUBMIT1,g31n32.hep.wisc.edu (primary),GLOW,GLOW,Success
login01.hep.wisc.edu:519657.604,Payload,condor:login01.hep.wisc.edu,GLOW_SUBMIT1,GLOW_SUBMIT1,e426.chtc.wisc.edu (primary),GLOW,GLOW,Success
login01.hep.wisc.edu:519657.608,Payload,condor:login01.hep.wisc.edu,GLOW_SUBMIT1,GLOW_SUBMIT1,e338.chtc.wisc.edu (primary),GLOW,GLOW,Success
